workYear,createTime,salary,education,city,positionName,search_name,positionId,work_duty,work_requirement
3-5年,2018-09-29 11:01:23,13k-25k,本科,杭州,前端开发工程师,前端工程师,5184047,负责产品前端页面的开发和优化/与设计 产品及后台人员沟通，保证产品的质量和开发进度/持续的优化相关的产品的质量 性能 用户体验/,计算机相关专业本科以上学历/精通HTML CSS JavaScript webpack 等技术，熟悉页面架构和布局/熟练掌握Vue  Redux等前端主流框架，熟练掌握面向对象编程以及事件驱动和数据驱动的编程风格，能够独立完成复杂前端模块设计与实现/了解AMD/CMD规范，熟练掌握webpack等前端自动化构建工具/具有良好的沟通能力和团队合作精神 优秀的分析问题和解决问题的能力/
3-5年,2018-09-29 15:13:40,10k-15k,本科,南京,前端开发,前端工程师,5114071,,
1-3年,2018-09-29 15:29:19,10k-20k,本科,上海,前端工程师,前端工程师,5185360, 本科以上学历，计算机 信息技术相关专业，年以上h/js前端网页开发经验/熟练掌握Html css Javascript ajax技术/掌握jQuery zepto等常用辅助库/熟悉HTTP协议及缓存，了解基本的浏览器渲染及网络传输过程/热爱编程，具备较强的分析问题和解决问题的能力 较强的学习能力 较好的沟通能力/,
不限,2018-09-30 09:09:50,8k-15k,本科,广州,前端开发工程师,前端工程师,1991532," 熟练掌握JavaScript，熟悉XML/JSON前端开发技术，熟悉DIV CSS布局/ 能使用原生的js或jQuery制作出页面常用的表现层动态效果,有nodejs经验者优先/ 对浏览器兼容性 代码可维护性 前端性能优化等有深入研究/",
1-3年,2018-09-30 09:19:50,6k-9k,不限,广州,前端开发工程师,前端工程师,4190922, 负责web前端框架的设计/ 参与产品需求讨论与设计，能够独立完成相关系统的分析 设计 开发 测试等全部过程/ 解决开发过程中遇到的关键技术问题，指导初级 中级开发人员进行开发/,"本科学历及以上，计算机 软件工程专业毕业/年及以上从事Java Web开发经验，掌握分析设计思想和设计方法 /精通Java EE体系，熟练使用框架进行开发(struct/springmvc + spring + ibatis/hibernate)/熟练掌握常用的WEB页面前端开发技术，如(JQuery, javascript,EasyUI,BootStarp,Echarts)/精通HTML CSS HTML+CSS熟悉WC标准能够解决常见兼容性问题/ 具有较强的学习能力和团队协作能力，工作积极主动，责任心强，并具有良好的沟通能力/"
3-5年,2018-09-29 15:09:26,13k-17k,本科,上海,前端开发工程师,前端工程师,4941749,,
1-3年,2018-09-28 13:27:12,15k-20k,本科,上海,前端开发工程师,前端工程师,5004101,利用各种Web技术进行开发，制作标准优化的代码，并增加交互动态功能，致力于通过技术改善用户体验，基础平台的建设/HTML版本以及Web App的前端工作 /Native App的GUI组件库开发/定位业务场景，洞察业务发展/, 精通各种前端技术（包括HTML/CSS/JavaScript等），熟悉ES语法，具备跨终端（Mobile+PC）的前端开发能力，熟悉网络协议（HTTP/SSL），熟悉常见安全问题和对策 / 熟悉前端工程化与模块化开发，并有实践经验（如gulp/webpack VueJS/React等） / 至少熟悉一门非前端的语言（如NodeJS/Java/PHP/C/C++/Python/Ruby等），并有实践经验 / 对前端技术有持续的热情，良好的团队协作能力，提升团队研发效率，实现极致性能，通过创新交互优化产品体验 / 加分项（满足其一即可）：微信小程序开发经验具备客户端能力或者Native&Web技术融合经验熟悉Canvas动效&WebGLD以及各种传感器技术复杂企业后台应用开发经验数据可视化产品设计开发经验大规模/高负载场景下NodeJS应用开发 运维经验良好的算法背景，对机器学习有研究和项目实施经验有独立的开源项目或者参与知名开源项目经验团队管理能力英语沟通能力/
5-10年,2018-09-29 09:29:53,9k-10k,本科,深圳,前端开发工程师,前端工程师,4667541, 依据产品需求完成高质量的Web前端开发和维护/ 理解并且能独立进行前端代码优化/ 结合前端技术提升产品的用户体验/ 及时了解前沿技术发展方向/," 熟练运用HTML JS CSS，对各主流浏览器之间的差异性有深刻理解/ 对前端工程化与模块化开发有一定了解，熟悉MVC/MVVM，组件/模块化等开发思想/ 对技术有强烈的进取心，具有良好的沟通能力和团队合作精神 优秀的分析问题和解决问题的能力/ 熟练运用主流的JS库和开发框架（如react, vue, angularjs, jquery等），深入理解其设计原理者优先/ 有大型的前端部署项目经验者优先/ 有node开发经验者优先/"
3-5年,2018-09-26 16:18:18,15k-30k,本科,北京,前端开发工程师,前端工程师,4770280,,
3-5年,2018-09-30 09:39:24,12k-24k,本科,上海,前端工程师,前端工程师,4985756,      参与公司产品前端系统的设计及开发/      配合后端工程师进行前后端整合/      负责开发文档的整理和编写/      学习和研究新技术以满足产品的需求，根据开发过程中的体验对产品提出改进建议/,"      大学计算机相关专业毕业，年及以上前端开发经验/      熟悉前端开发技术: HTML/CSS,Javascript（如Angularjs, JQuery）等/      了解开发和整合REST API/      善于使用前端的基本调试工具，熟练使用开发环境/      有在Linux操作系统上的开发经验/      拥有良好的代码编写，设计文档撰写的经验，熟练使用Git等版本控制工具/      有 echart  使用经验和数据可视化开发经验者优先/      工作积极主动，有创业热情和良好的团队协作能力/"
3-5年,2018-09-29 17:53:24,12k-16k,大专,武汉,前端工程师,前端工程师,5161948,负责公司PC 移动端网站，后台管理系统，hybrid app开发/负责小程序项目开发/,年以上工作经验，负责过网站或复杂前端应用的研发/熟练掌握原生JS，熟悉JS面向对象编程，熟练掌握模块化开发/熟悉种以上前端框架并有实际项目开发经验（react/angularjs/vue）并熟悉其原理/独立完成过小程序项目/良好的沟通表达及团队合作能力/
3-5年,2018-09-30 09:04:52,12k-20k,本科,上海,前端开发,前端工程师,4790945,本科以上学历（学信网可真实查询的），年以上前端开发经验/具备良好的沟通能力/熟悉vue，react等主流开源框架，至少精通一项/精通原生JavaScript，对ES/有实践运用经验/有移动和PC主流浏览器的兼容经验/有Hybrid或微信小程序开发经验者优先/有一定的抗压能力/,
1-3年,2018-09-30 09:38:50,6k-10k,本科,福州,前端开发工程师,前端工程师,4036301,,
